生理性別,年齡,您的身分是？,我會想讓我的孩子使用此聊天機器人,我認為使用聊天機器人對於我或我的孩子可能有困難,我認為相較於家長干涉孩子的交友情況，孩子可能更能接受聊天機器人和他互動,我不信任系統對於網路誘拐的判斷結果，這降低我使用此聊天機器人的意願,我認為在檢測出高誘拐風險時向家長傳送通知能讓家長了解情況，進而有效阻止網路誘拐,我認為使用此聊天機器人可能會侵犯孩子和他人對話的隱私，這降低我使用此聊天機器人的意願,我認為聊天機器人以提點的方式和孩子對話能促進孩子對網路交友的思考,我認為直接向緊急聯絡人傳送通知才是相較於聊天機器人在第一時間和孩子溝通更好的處理方式,我認為很少有其他方式保護孩子在網路上的交友安全，這促使我有意願讓我的孩子使用此聊天機器人,檢測系統的判斷未必準確，我認為收到並非百分之百準確的通知會造成不必要的麻煩，這降低我使用此聊天機器人的意願,我認為此聊天機器人的存在是有其必要的,除了上述問題提到的觀點外，其他導致您不想讓孩子使用此聊天機器人的可能原因為何？,除了上述問題提到的觀點外，其他促使您想讓孩子使用此聊天機器人的可能原因為何？,您對此聊天機器人的功能和設計有何其他建議？,填答時間,填答秒數
女,40~49歲,家長（孩子的主要照護人）,同意,普通,同意,普通,同意,普通,同意,同意,同意,同意,同意,,,,2022/7/14 19:45,204
女,40~49歲,家長（孩子的主要照護人）,同意,普通,同意,不同意,同意,不同意,同意,不同意,同意,不同意,同意,,因為孩子對聊天機器人會比較能放鬆戒心，相對也會比較容易說出他在網路上的交友情況,,2022/7/14 20:04,501
男,40~49歲,家長（孩子的主要照護人）,不同意,同意,普通,同意,同意,同意,同意,同意,不同意,同意,不同意,怕被騙,多認識新科技產品,無,2022/7/14 20:13,185
女,40~49歲,家長（孩子的主要照護人）,非常同意,非常不同意,非常同意,非常不同意,非常同意,非常不同意,非常同意,不同意,非常同意,非常不同意,非常同意,過度使用電腦,可避免不良網站誘拐,可以在活潑有趣,2022/7/14 20:16,411
女,40~49歲,家長（孩子的主要照護人）,非常同意,同意,普通,同意,普通,普通,同意,同意,同意,同意,不同意,孩子未成年，不會判斷是非,了解機器人,無,2022/7/14 20:16,183
女,40~49歲,家長（孩子的主要照護人）,不同意,不同意,不同意,同意,普通,普通,普通,同意,不同意,非常同意,不同意,沒這必要,無,太虛假,2022/7/14 21:35,156
女,40~49歲,家長（孩子的主要照護人）,不同意,不同意,不同意,不同意,普通,不同意,不同意,不同意,不同意,不同意,普通,一板一眼,沒有,,2022/7/14 21:41,162
女,30~39歲,家長（孩子的主要照護人）,不同意,普通,不同意,同意,同意,普通,普通,同意,普通,同意,普通,怕被誘拐,會告訴不想跟父母說的話,希望能讓他們走正途,2022/7/14 23:16,104
女,40~49歲,家長（孩子的主要照護人）,同意,普通,普通,同意,同意,同意,同意,同意,同意,不同意,同意,無,無,無,2022/7/15 09:00,377
男,40~49歲,家長（孩子的主要照護人）,普通,不同意,不同意,普通,同意,普通,不同意,同意,普通,不同意,同意,擔心被騙，扭曲,有伴,家長也加入,2022/7/15 11:25,49
男,30~39歲,其他,同意,同意,非常同意,普通,非常同意,非常不同意,同意,不同意,非常同意,普通,同意,"由於對這系統還很陌生，
不清楚系統支援的軟體範圍是否有包含到現階段小孩會用到的交友軟體。",可以讓小孩可以有意識到網路安全方面的認知，尤其現在網路上詐騙資訊非常多。,目前沒有,2022/7/15 12:08,550
男,20~29歲,其他,同意,不同意,普通,不同意,同意,同意,同意,不同意,普通,同意,普通,不知道機器人的邏輯是否與家長理念相同的 有可能會造成思想衝突,我主打跟孩子以當朋友的方式相處 但可能是一廂情願 反之機器人可以瞬間回復孩子的問題跟應付心理狀態,沒有 這個想法在電影上屬實很多 但結局也是有好壞不一 有這個想法很好 我覺得是一個很大的突破,2022/7/15 12:12,800
男,50~59歲,家長（孩子的主要照護人）,同意,非常不同意,同意,不同意,同意,不同意,同意,普通,同意,不同意,同意,"判斷的準確性,是否依大數據來判斷,至少有80%的準確性",小孩的好奇心,可否依現在年輕人流行的話題來更新功能,2022/7/15 17:15,550
男,20~29歲,家長（孩子的主要照護人）,同意,普通,同意,不同意,同意,同意,同意,普通,同意,普通,同意,降低親子之間的信任感,社會秩序混亂、詐騙手段日新月異,可以有更多互動功能,2022/7/15 17:15,162
男,30~39歲,家長（孩子的主要照護人）,非常同意,普通,非常同意,非常同意,非常同意,非常同意,非常同意,不同意,非常同意,不同意,非常同意,無,因為小孩子在不在視線範圍內或闖出的禍很多，而且往往一發不可收拾，所以我認為機器人的開發使用是必要的。,可能可以與警察機關做配合，蒐集更多犯罪資料，連同詐騙回報一同綁定。,2022/7/15 17:18,171
女,50~59歲,家長（孩子的主要照護人）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,,,,2022/7/15 17:24,221
女,40~49歲,其他,同意,不同意,普通,不同意,同意,不同意,同意,普通,同意,不同意,同意,,,,2022/7/15 22:00,353
